150 PA5-C-Debug-Output.txt 6
  -13.68   -33.09   -22.08          -13.67   -33.09   -22.08     0.007
  -17.04     9.39   -21.99          -17.04     9.40   -21.98     0.018
    4.40    29.14    22.35            4.41    29.16    22.35     0.021
  -38.89   -21.75   -16.59          -38.88   -21.74   -16.59     0.019
  -24.96    -9.56    -4.52          -24.96    -9.56    -4.52     0.003
    5.67    25.69     2.11            5.69    25.67     2.12     0.029
  -10.58     4.01   -37.89          -10.59     4.00   -37.88     0.014
    6.18    -8.92   -22.67            6.18    -8.91   -22.69     0.024
  -25.26    10.69   -23.62          -25.26    10.69   -23.62     0.001
    5.67    12.07   -12.37            5.67    12.06   -12.37     0.012
  -10.34    -0.72    19.35          -10.32    -0.72    19.35     0.014
   -4.30   -25.50   -18.61           -4.28   -25.51   -18.60     0.015
   29.98    -8.58     8.92           29.97    -8.57     8.91     0.022
    7.65    -4.80   -22.65            7.64    -4.80   -22.61     0.040
   -2.75    -9.50    59.15           -2.77    -9.54    59.15     0.045
  -13.15    25.32    20.42          -13.15    25.32    20.42     0.009
   -8.23    30.19    15.35           -8.25    30.20    15.32     0.036
   -5.61   -17.39    -7.57           -5.61   -17.32    -7.57     0.064
   -6.36   -15.22   -43.16           -6.36   -15.22   -43.16     0.008
   11.17    25.09   -13.17           11.16    25.11   -13.18     0.020
   -2.49    -7.54   -35.92           -2.45    -7.54   -35.93     0.042
   -3.54    10.08   -15.61           -3.54    10.07   -15.61     0.003
   11.61    -8.69   -22.16           11.62    -8.68   -22.12     0.042
   -5.67    -5.40    50.09           -5.67    -5.40    50.09     0.002
   23.84     8.77    44.37           23.80     8.77    44.37     0.034
   22.16     7.36    55.45           22.14     7.36    55.45     0.019
  -15.14   -12.19   -48.10          -15.13   -12.19   -48.07     0.031
  -12.96   -17.96   -46.24          -12.96   -17.95   -46.23     0.015
   37.33     3.12   -11.12           37.28     3.12   -11.09     0.058
  -21.41   -13.10   -47.40          -21.41   -13.04   -47.40     0.056
   -8.58    -9.28    17.05           -8.59    -9.28    17.05     0.003
   30.11    20.98     1.52           30.11    20.97     1.52     0.009
   -3.40   -22.45   -17.01           -3.38   -22.46   -16.99     0.033
   32.89    -6.97    -6.86           32.85    -6.92    -6.87     0.066
   22.28    11.35    49.72           22.25    11.34    49.72     0.034
   13.31    -7.50    53.61           13.32    -7.51    53.61     0.014
   -2.85     4.15   -23.70           -2.85     4.14   -23.69     0.021
  -21.40    11.00   -31.76          -21.40    11.00   -31.76     0.001
  -35.42   -13.20   -41.07          -35.40   -13.21   -41.05     0.031
  -31.58     4.91   -34.26          -31.57     4.88   -34.25     0.034
   -7.19   -24.57   -39.25           -7.19   -24.57   -39.25     0.005
   38.27     0.74     9.25           38.28     0.74     9.28     0.033
   13.14    25.66   -28.24           13.14    25.63   -28.22     0.034
  -36.97   -24.19   -32.83          -36.96   -24.18   -32.83     0.005
  -25.41   -32.99   -30.38          -25.41   -32.99   -30.37     0.005
   32.73     9.32    16.22           32.74     9.32    16.23     0.013
   17.54    18.30    46.03           17.50    18.25    46.02     0.059
  -29.32    -2.17   -42.38          -29.31    -2.18   -42.36     0.024
   14.45    18.76    53.37           14.41    18.71    53.35     0.066
   -9.94   -20.88   -44.56           -9.94   -20.88   -44.58     0.016
  -22.64   -23.23    -6.27          -22.64   -23.24    -6.25     0.022
  -20.63   -13.49    -4.07          -20.63   -13.49    -4.07     0.004
   13.17    -7.67    33.64           13.16    -7.65    33.64     0.022
