150 PA5-D-Debug-Output.txt 6
 -138.6646  -148.2372   -68.9061   -50.6811    58.9616   -37.9000
   32.80    -7.09    -7.33           32.79    -7.08    -7.33     0.012
  -26.85     2.41   -43.80          -26.85     2.41   -43.79     0.004
   13.96    22.78    39.93           13.95    22.75    39.93     0.029
  -17.67    15.81    27.24          -17.65    15.81    27.24     0.024
    4.69   -11.29    29.25            4.69   -11.31    29.24     0.024
  -23.53   -19.62   -46.29          -23.53   -19.62   -46.29     0.003
  -41.48   -11.33   -22.47          -41.49   -11.33   -22.47     0.013
   11.97    20.94    52.71           11.97    20.94    52.70     0.009
   12.75    -0.31    51.37           12.75    -0.31    51.34     0.026
   27.61   -14.01    -0.32           27.61   -14.01    -0.30     0.025
   -8.73     9.60    47.59           -8.73     9.60    47.59     0.008
   -5.06    22.60    33.08           -5.06    22.63    33.08     0.023
  -16.62    17.30    18.96          -16.62    17.30    18.96     0.010
   -7.96    18.49    14.17           -7.96    18.49    14.17     0.001
  -15.19    15.01   -22.68          -15.19    15.00   -22.68     0.009
  -14.36    18.64    18.49          -14.36    18.64    18.48     0.009
  -41.73   -14.19   -10.51          -41.74   -14.19   -10.51     0.011
  -21.94    13.30   -32.63          -21.94    13.29   -32.63     0.011
   23.43   -17.80     1.32           23.43   -17.80     1.31     0.010
   12.42     8.61    53.00           12.42     8.62    52.99     0.009
   20.93    -4.02    25.80           20.93    -4.03    25.80     0.007
  -29.02   -14.10   -47.04          -29.02   -14.10   -47.04     0.003
   21.05     8.77    40.92           21.03     8.77    40.91     0.024
   10.31    22.47    33.66           10.31    22.47    33.66     0.001
   15.27    26.04   -17.88           15.28    26.04   -17.88     0.014
  -35.38    10.66   -24.90          -35.38    10.65   -24.90     0.009
  -36.40     9.02   -15.90          -36.40     9.02   -15.90     0.001
    1.22   -23.08   -24.61            1.22   -23.07   -24.61     0.010
   -9.61     5.73    34.45           -9.60     5.74    34.45     0.008
   -8.24     2.42   -36.20           -8.24     2.42   -36.20     0.000
   -0.74   -20.52   -31.55           -0.74   -20.51   -31.55     0.014
    9.87   -10.95    24.60            9.87   -10.96    24.60     0.005
   -8.05    22.75    25.66           -8.05    22.76    25.66     0.011
  -24.33   -31.15   -33.80          -24.33   -31.15   -33.80     0.008
   38.79    14.56   -17.27           38.80    14.56   -17.27     0.002
   36.43    21.04   -10.28           36.43    21.04   -10.28     0.003
  -18.45    -4.22   -48.04          -18.45    -4.22   -48.04     0.002
  -29.10   -10.18   -47.40          -29.10   -10.18   -47.40     0.002
  -18.44   -27.86    -6.83          -18.44   -27.86    -6.83     0.003
   32.05    20.37    13.28           32.05    20.37    13.29     0.004
   31.07     8.89   -31.33           31.07     8.89   -31.33     0.005
  -27.35     3.57    -8.39          -27.35     3.56    -8.41     0.018
   34.89     1.24    13.62           34.89     1.24    13.62     0.006
  -11.01   -10.15   -45.78          -11.01   -10.15   -45.78     0.001
  -16.38    12.05   -35.54          -16.25    12.21   -35.63     0.219
   -5.98    19.76    13.95           -5.98    19.76    13.95     0.007
  -16.74    18.64    23.04          -16.72    18.63    23.04     0.019
  -12.33    16.63    16.12          -12.33    16.63    16.12     0.002
    0.09   -17.62   -31.61            0.09   -17.62   -31.61     0.009
    3.18    19.63    45.40            3.19    19.61    45.40     0.021
  -27.18     2.42    -8.04          -27.18     2.42    -8.06     0.013
   12.14    -7.80    44.78           12.14    -7.79    44.78     0.008
   12.51    24.10    26.96           12.51    24.08    26.95     0.017
