150 PA5-B-Debug-Output.txt 6
  -36.84   -24.67   -11.10          -36.84   -24.67   -11.10     0.003
   -1.84   -10.53    45.80           -1.82   -10.51    45.80     0.025
   -8.76     5.04    11.98           -8.80     5.06    11.98     0.048
   21.93    -5.39    17.03           21.94    -5.40    17.04     0.015
   -6.62    -4.93    43.53           -6.63    -4.93    43.53     0.011
   -5.27     9.62    -2.11           -5.19     9.64    -2.35     0.250
   21.09     8.80    44.29           21.11     8.81    44.29     0.019
   35.48    -4.56   -11.27           35.47    -4.53   -11.28     0.035
   13.48    -9.77   -20.51           13.47    -9.74   -20.49     0.042
   -2.67   -13.66     4.74           -2.67   -13.66     4.74     0.002
   16.99    27.63   -15.85           16.98    27.65   -15.86     0.023
   22.48     5.01    34.81           22.52     5.00    34.82     0.039
   15.33    24.17   -15.05           15.28    24.17   -15.06     0.047
   23.52    11.76   -32.07           23.54    11.76   -32.04     0.035
    6.33   -10.99    13.90            6.32   -10.98    13.89     0.012
    0.31    11.71   -11.82            0.31    11.71   -11.82     0.001
   -8.21     0.79   -37.54           -8.22     0.78   -37.54     0.014
  -24.13   -34.57   -29.82          -24.13   -34.59   -29.82     0.013
   16.16    20.25   -18.80           16.11    20.23   -18.79     0.051
    7.46    -6.19   -22.73            7.45    -6.18   -22.71     0.022
   -7.22   -26.32   -35.98           -7.22   -26.32   -35.98     0.004
   26.92     0.13    18.02           26.96     0.11    18.04     0.044
   13.46    -6.40    38.14           13.47    -6.42    38.14     0.018
    2.93    27.01    10.07            2.92    27.02    10.06     0.020
    0.26    25.68     9.86            0.26    25.69     9.86     0.004
   14.06    30.30     2.07           14.06    30.30     2.07     0.004
   -8.05   -22.71    -9.10           -8.05   -22.72    -9.09     0.013
   -9.67    -6.96   -43.41           -9.67    -6.96   -43.41     0.001
    4.77    -8.59   -23.91            4.77    -8.59   -23.90     0.011
   17.75    28.10   -17.42           17.74    28.12   -17.42     0.020
  -13.12   -15.38    -1.88          -13.12   -15.38    -1.88     0.004
   -3.51    31.27    14.47           -3.51    31.27    14.46     0.004
   22.83    26.81     7.48           22.84    26.82     7.48     0.014
    4.99     5.65    62.61            5.00     5.66    62.59     0.019
    7.88   -15.44     1.82            7.90   -15.44     1.87     0.058
  -21.10   -33.11   -13.61          -21.10   -33.10   -13.62     0.018
   -8.62   -21.00    -8.51           -8.62   -21.01    -8.48     0.028
   -8.90     0.03    23.06           -8.91     0.03    23.06     0.008
   39.86     8.51    -2.81           39.87     8.51    -2.82     0.005
  -28.71   -33.23   -18.14          -28.71   -33.23   -18.14     0.001
   31.66    -9.86   -16.99           31.67    -9.87   -16.99     0.011
   29.35    -6.82   -25.69           29.35    -6.81   -25.67     0.024
  -38.18    -8.44   -39.64          -38.19    -8.44   -39.66     0.025
  -11.06    -2.39    13.95          -11.06    -2.39    13.95     0.007
  -15.11   -13.13    -0.42          -15.11   -13.13    -0.42     0.001
  -42.21   -19.81   -16.07          -42.21   -19.81   -16.07     0.002
  -43.77   -18.29   -20.19          -43.77   -18.29   -20.19     0.001
   14.84    12.01    62.38           14.83    12.01    62.36     0.021
  -23.45    11.64   -28.06          -23.45    11.64   -28.06     0.003
   -1.45   -12.80   -26.92           -1.43   -12.79   -26.92     0.026
    7.62    24.88    30.40            7.62    24.88    30.40     0.005
  -43.33   -19.12   -30.11          -43.33   -19.12   -30.10     0.005
    1.01   -10.64    47.77            1.01   -10.61    47.77     0.022
